코인	실시간	변동률	거래금액	시가총액
비트코인	10,334,000	-44,000	46,964,782,715	148조0552억	
이더리움	318,400	-400	36,004,997,314	23조9092억	
리플	504	+13.00	100,572,906,209	16조0060억	
비트코인	511,000	-7,500	28,376,212,926	7조5326억	
라이트코인	134,000	-1,900	6,670,887,467	6조3145억	
이오스	9,290	+1,035	75,854,190,644	5조8340억	
스텔라루멘	170	-1.00	2,016,304,415	2조2768억	
에이다	111	+3.00	2,222,653,473	2조2138억	
트론	37.50	+1.50	16,988,272,642	1조9346억	
모네로	110,000	+1,800	169,906,016,406	1조5068억	
대시	203,200	+2,900	466,617,734,553	1조3323억	
비트코인에스브이	129,500	-500	13,490,300,034	1조2179억	
이더리움	9,670	+495	2,788,947,035	7744억	
넴	108	+2.00	525,375,763	6000억	
베이직어텐션토큰	452	+5.00	459,112,041	5433억	
제트캐시	112,000	+22,100	1,928,487,310	4711억	
비트코인	28,700	-150	1,117,073,896	4542억	
비체인	9.40	+0.39	1,025,744,477	4103억	
웨이브	3,306	+25.00	387,379,406	2903억	
오미세고	2,600	+149	647,514,927	2840억	
체인링크	1,356	-44.00	472,251,229	2783억	
퀀텀	3,912	+189	3,461,004,042	2760억	
어거	28,800	+50.00	2,587,189,638	2623억	
비트코인	2,930	-13.00	1,828,771,204	1985억	
제로엑스	401	+12.00	268,252,339	1921억	
아이콘	454	-3.00	457,302,577	1870억	
이오스트	20.10	+0.10	275,432,895	1857억	
비트토렌트	2.78	0	11,522,407,094	1747억	
펀디엑스	1.34	-0.04	5,072,882,202	1641억	
질리카	24.90	+0.40	1,101,071,907	1640억	
애터니티	670	+3.00	371,943,338	1440억	
버지	26.00	0	402,442,086	1392억	
엔진코인	172	-2.00	2,043,228,099	1286억	
스팀	532	-2.00	399,131,610	1199억	
월튼체인	2,611	-4.00	188,776,492	1076억	
스트라티스	1,247	-22.00	251,943,548	966억	
믹스마블	80.10	-0.20	552,877,903	920억	
스테이터스네트워크토큰	35.60	+1.30	1,519,392,582	914억	
쎄타토큰	135	0	408,927,009	911억	
크립토닷컴	6,600	+195	5,583,850,417	906억	
골렘	107	-2.00	334,988,220	818억	
트루체인	944	+9.00	526,345,103	798억	
밸러토큰	3,534	-57.00	812,933,524	781억	
지엑스체인	1,290	-8.00	147,164,819	746억	
왁스	87.60	+1.80	389,657,341	708억	
엘프	279	+5.00	700,208,196	703억	
아크블록	566	-2.00	632,721,378	673억	
파퓰러스	2,501	+52.00	172,747,226	652억	
에이치닥	44.40	-0.60	622,740,823	610억	
오브스	41.60	+0.50	1,556,311,807	580억	
하이퍼캐시	1,781	+34.00	302,409,613	573억	
루프링	94.20	-1.80	175,672,892	569억	
코넌	28.50	+0.20	2,403,500,778	557억	
룸네트워크	143	0	442,351,297	539억	
파워렛저	152	+1.00	363,047,474	519억	
카이버	323	+1.00	376,067,038	429억	
폴리매스	124	-4.00	336,448,209	425억	
피벡스	2,471	-10.00	468,767,250	406억	
비에이치피	1,755	+5.00	2,327,435,007	320억	
사이버마일즈	46.50	+0.60	161,315,501	313억	
텐엑스	367	-12.00	582,038,685	310억	
코르텍스	338	-9.00	386,088,265	267억	
롬	0.06	0	178,180,632	266억	
미스릴	66.80	+0.90	544,690,742	240억	
다빈치	6.60	+0.04	450,877,053	230억	
메탈	3,624	+77.00	2,076,011,400	209억	
오디세이	4.10	-0.12	251,017,766	195억	
이더제로	211	-7.00	251,849,501	192억	
기프토	44.30	+0.90	919,061,485	181억	
앵커	9.31	-0.25	584,282,706	177억	
원루트	65.70	-0.20	287,890,142	176억	
레이든네트워크토큰	1,257	+149	6,612,923,315	168억	
큐브	2.29	-0.01	275,197,529	146억	
베잔트	26.50	-0.50	768,492,570	135억	
에토스	230	-10.00	311,084,029	135억	
아피스	2.20	-0.07	180,402,068	114억	
아이앤에스	545	+3.00	556,895,743	111억	
아이오티체인	314	+4.00	2,710,209,879	107억	
솔트	282	-9.00	315,685,445	105억	
에어론	729	+29.00	2,173,002,058	87억	
더마이다스터치골드	3.83	-0.01	596,667,283	79억	
아모코인	0.75	-0.03	1,117,681,087	66억	
플레이코인	25.00	+0.40	522,695,753	64억	
프리마스	178	+1.00	588,191,611	54억	
위쇼토큰	26.30	+0.10	469,638,266	52억	
디에이씨씨	0.21	0	360,838,111	44억	
